group,function,value,sample_time_nanos,iteration_count
Fibonacci,Recursive,,1014000,52
Fibonacci,Recursive,,1920000,104
Fibonacci,Recursive,,3022000,156
Fibonacci,Recursive,,3931000,208
Fibonacci,Recursive,,4810000,260
Fibonacci,Recursive,,6087000,312
Fibonacci,Recursive,,6787000,364
Fibonacci,Recursive,,7899000,416
Fibonacci,Recursive,,8860000,468
Fibonacci,Recursive,,10044000,520
Fibonacci,Recursive,,10699000,572
Fibonacci,Recursive,,11781000,624
Fibonacci,Recursive,,12810000,676
Fibonacci,Recursive,,14182000,728
Fibonacci,Recursive,,15115000,780
Fibonacci,Recursive,,16370000,832
Fibonacci,Recursive,,17157000,884
Fibonacci,Recursive,,17945000,936
Fibonacci,Recursive,,20923000,988
Fibonacci,Recursive,,20542000,1040
Fibonacci,Recursive,,22006000,1092
Fibonacci,Recursive,,22484000,1144
Fibonacci,Recursive,,22785000,1196
Fibonacci,Recursive,,24408000,1248
Fibonacci,Recursive,,24666000,1300
Fibonacci,Recursive,,26059000,1352
Fibonacci,Recursive,,26710000,1404
Fibonacci,Recursive,,27641000,1456
Fibonacci,Recursive,,28874000,1508
Fibonacci,Recursive,,29353000,1560
Fibonacci,Recursive,,30890000,1612
Fibonacci,Recursive,,31883000,1664
Fibonacci,Recursive,,33753000,1716
Fibonacci,Recursive,,33380000,1768
Fibonacci,Recursive,,37843000,1820
Fibonacci,Recursive,,35925000,1872
Fibonacci,Recursive,,37060000,1924
Fibonacci,Recursive,,37824000,1976
Fibonacci,Recursive,,38198000,2028
Fibonacci,Recursive,,39434000,2080
Fibonacci,Recursive,,41046000,2132
Fibonacci,Recursive,,40856000,2184
Fibonacci,Recursive,,42519000,2236
Fibonacci,Recursive,,43460000,2288
Fibonacci,Recursive,,44868000,2340
Fibonacci,Recursive,,44988000,2392
Fibonacci,Recursive,,46970000,2444
Fibonacci,Recursive,,48975000,2496
Fibonacci,Recursive,,49978000,2548
Fibonacci,Recursive,,51451000,2600
Fibonacci,Recursive,,55120000,2652
Fibonacci,Recursive,,51255000,2704
Fibonacci,Recursive,,52947000,2756
Fibonacci,Recursive,,53305000,2808
Fibonacci,Recursive,,54785000,2860
Fibonacci,Recursive,,55320000,2912
Fibonacci,Recursive,,59561000,2964
Fibonacci,Recursive,,57335000,3016
Fibonacci,Recursive,,58492000,3068
Fibonacci,Recursive,,59236000,3120
Fibonacci,Recursive,,59697000,3172
Fibonacci,Recursive,,61642000,3224
Fibonacci,Recursive,,62091000,3276
Fibonacci,Recursive,,62831000,3328
Fibonacci,Recursive,,65607000,3380
Fibonacci,Recursive,,72767000,3432
Fibonacci,Recursive,,67336000,3484
Fibonacci,Recursive,,68879000,3536
Fibonacci,Recursive,,69465000,3588
Fibonacci,Recursive,,69132000,3640
Fibonacci,Recursive,,71783000,3692
Fibonacci,Recursive,,72313000,3744
Fibonacci,Recursive,,73378000,3796
Fibonacci,Recursive,,73543000,3848
Fibonacci,Recursive,,74380000,3900
Fibonacci,Recursive,,75224000,3952
Fibonacci,Recursive,,76812000,4004
Fibonacci,Recursive,,77010000,4056
Fibonacci,Recursive,,79289000,4108
Fibonacci,Recursive,,85558000,4160
Fibonacci,Recursive,,79835000,4212
Fibonacci,Recursive,,81161000,4264
Fibonacci,Recursive,,81174000,4316
Fibonacci,Recursive,,84890000,4368
Fibonacci,Recursive,,88113000,4420
Fibonacci,Recursive,,86074000,4472
Fibonacci,Recursive,,85794000,4524
Fibonacci,Recursive,,86970000,4576
Fibonacci,Recursive,,87827000,4628
Fibonacci,Recursive,,88039000,4680
Fibonacci,Recursive,,95990000,4732
Fibonacci,Recursive,,92917000,4784
Fibonacci,Recursive,,96439000,4836
Fibonacci,Recursive,,93487000,4888
Fibonacci,Recursive,,94448000,4940
Fibonacci,Recursive,,95545000,4992
Fibonacci,Recursive,,97458000,5044
Fibonacci,Recursive,,101856000,5096
Fibonacci,Recursive,,97665000,5148
Fibonacci,Recursive,,99940000,5200
