group,function,value,sample_time_nanos,iteration_count
Fibonacci2,Iterative,20,1166000,208873
Fibonacci2,Iterative,20,1932000,417746
Fibonacci2,Iterative,20,2996000,626619
Fibonacci2,Iterative,20,5685000,835492
Fibonacci2,Iterative,20,7115000,1044365
Fibonacci2,Iterative,20,7593000,1253238
Fibonacci2,Iterative,20,7346000,1462111
Fibonacci2,Iterative,20,7901000,1670984
Fibonacci2,Iterative,20,8987000,1879857
Fibonacci2,Iterative,20,9826000,2088730
Fibonacci2,Iterative,20,10585000,2297603
Fibonacci2,Iterative,20,11963000,2506476
Fibonacci2,Iterative,20,12412000,2715349
Fibonacci2,Iterative,20,13163000,2924222
Fibonacci2,Iterative,20,14269000,3133095
Fibonacci2,Iterative,20,15350000,3341968
Fibonacci2,Iterative,20,16702000,3550841
Fibonacci2,Iterative,20,17840000,3759714
Fibonacci2,Iterative,20,18894000,3968587
Fibonacci2,Iterative,20,19320000,4177460
Fibonacci2,Iterative,20,20102000,4386333
Fibonacci2,Iterative,20,21588000,4595206
Fibonacci2,Iterative,20,23392000,4804079
Fibonacci2,Iterative,20,25036000,5012952
Fibonacci2,Iterative,20,25171000,5221825
Fibonacci2,Iterative,20,24842000,5430698
Fibonacci2,Iterative,20,25546000,5639571
Fibonacci2,Iterative,20,27354000,5848444
Fibonacci2,Iterative,20,27299000,6057317
Fibonacci2,Iterative,20,28462000,6266190
Fibonacci2,Iterative,20,29549000,6475063
Fibonacci2,Iterative,20,31418000,6683936
Fibonacci2,Iterative,20,32147000,6892809
Fibonacci2,Iterative,20,33277000,7101682
Fibonacci2,Iterative,20,34386000,7310555
Fibonacci2,Iterative,20,35007000,7519428
Fibonacci2,Iterative,20,34915000,7728301
Fibonacci2,Iterative,20,37223000,7937174
Fibonacci2,Iterative,20,38290000,8146047
Fibonacci2,Iterative,20,39056000,8354920
Fibonacci2,Iterative,20,39406000,8563793
Fibonacci2,Iterative,20,40285000,8772666
Fibonacci2,Iterative,20,42845000,8981539
Fibonacci2,Iterative,20,41972000,9190412
Fibonacci2,Iterative,20,43848000,9399285
Fibonacci2,Iterative,20,50742000,9608158
Fibonacci2,Iterative,20,45830000,9817031
Fibonacci2,Iterative,20,46980000,10025904
Fibonacci2,Iterative,20,47762000,10234777
Fibonacci2,Iterative,20,49210000,10443650
Fibonacci2,Iterative,20,51582000,10652523
Fibonacci2,Iterative,20,51838000,10861396
Fibonacci2,Iterative,20,50997000,11070269
Fibonacci2,Iterative,20,51762000,11279142
Fibonacci2,Iterative,20,52197000,11488015
Fibonacci2,Iterative,20,53447000,11696888
Fibonacci2,Iterative,20,57403000,11905761
Fibonacci2,Iterative,20,57539000,12114634
Fibonacci2,Iterative,20,58028000,12323507
Fibonacci2,Iterative,20,57343000,12532380
Fibonacci2,Iterative,20,58037000,12741253
Fibonacci2,Iterative,20,60101000,12950126
Fibonacci2,Iterative,20,61944000,13158999
Fibonacci2,Iterative,20,68086000,13367872
Fibonacci2,Iterative,20,62524000,13576745
Fibonacci2,Iterative,20,65417000,13785618
Fibonacci2,Iterative,20,65117000,13994491
Fibonacci2,Iterative,20,66069000,14203364
Fibonacci2,Iterative,20,65706000,14412237
Fibonacci2,Iterative,20,67553000,14621110
Fibonacci2,Iterative,20,69830000,14829983
Fibonacci2,Iterative,20,69831000,15038856
Fibonacci2,Iterative,20,71316000,15247729
Fibonacci2,Iterative,20,71747000,15456602
Fibonacci2,Iterative,20,72612000,15665475
Fibonacci2,Iterative,20,71733000,15874348
Fibonacci2,Iterative,20,72975000,16083221
Fibonacci2,Iterative,20,77074000,16292094
Fibonacci2,Iterative,20,79505000,16500967
Fibonacci2,Iterative,20,78109000,16709840
Fibonacci2,Iterative,20,77717000,16918713
Fibonacci2,Iterative,20,80616000,17127586
Fibonacci2,Iterative,20,84237000,17336459
Fibonacci2,Iterative,20,84682000,17545332
Fibonacci2,Iterative,20,81813000,17754205
Fibonacci2,Iterative,20,83985000,17963078
Fibonacci2,Iterative,20,83869000,18171951
Fibonacci2,Iterative,20,84556000,18380824
Fibonacci2,Iterative,20,85705000,18589697
Fibonacci2,Iterative,20,87984000,18798570
Fibonacci2,Iterative,20,95220000,19007443
Fibonacci2,Iterative,20,98072000,19216316
Fibonacci2,Iterative,20,89636000,19425189
Fibonacci2,Iterative,20,95019000,19634062
Fibonacci2,Iterative,20,90877000,19842935
Fibonacci2,Iterative,20,91169000,20051808
Fibonacci2,Iterative,20,94616000,20260681
Fibonacci2,Iterative,20,93363000,20469554
Fibonacci2,Iterative,20,94504000,20678427
Fibonacci2,Iterative,20,95764000,20887300
