group,function,value,sample_time_nanos,iteration_count
Fibonacci,Iterative,,1128000,209454
Fibonacci,Iterative,,1853000,418908
Fibonacci,Iterative,,2976000,628362
Fibonacci,Iterative,,3908000,837816
Fibonacci,Iterative,,4938000,1047270
Fibonacci,Iterative,,5885000,1256724
Fibonacci,Iterative,,7324000,1466178
Fibonacci,Iterative,,8286000,1675632
Fibonacci,Iterative,,8765000,1885086
Fibonacci,Iterative,,10310000,2094540
Fibonacci,Iterative,,10857000,2303994
Fibonacci,Iterative,,11678000,2513448
Fibonacci,Iterative,,12549000,2722902
Fibonacci,Iterative,,13873000,2932356
Fibonacci,Iterative,,14675000,3141810
Fibonacci,Iterative,,16283000,3351264
Fibonacci,Iterative,,20063000,3560718
Fibonacci,Iterative,,17803000,3770172
Fibonacci,Iterative,,20195000,3979626
Fibonacci,Iterative,,20436000,4189080
Fibonacci,Iterative,,21179000,4398534
Fibonacci,Iterative,,22198000,4607988
Fibonacci,Iterative,,22829000,4817442
Fibonacci,Iterative,,23683000,5026896
Fibonacci,Iterative,,24281000,5236350
Fibonacci,Iterative,,25393000,5445804
Fibonacci,Iterative,,26687000,5655258
Fibonacci,Iterative,,27278000,5864712
Fibonacci,Iterative,,28180000,6074166
Fibonacci,Iterative,,29413000,6283620
Fibonacci,Iterative,,30601000,6493074
Fibonacci,Iterative,,31213000,6702528
Fibonacci,Iterative,,32171000,6911982
Fibonacci,Iterative,,33550000,7121436
Fibonacci,Iterative,,34156000,7330890
Fibonacci,Iterative,,35158000,7540344
Fibonacci,Iterative,,36981000,7749798
Fibonacci,Iterative,,36258000,7959252
Fibonacci,Iterative,,37167000,8168706
Fibonacci,Iterative,,37987000,8378160
Fibonacci,Iterative,,39330000,8587614
Fibonacci,Iterative,,40601000,8797068
Fibonacci,Iterative,,41696000,9006522
Fibonacci,Iterative,,42520000,9215976
Fibonacci,Iterative,,43247000,9425430
Fibonacci,Iterative,,45455000,9634884
Fibonacci,Iterative,,45675000,9844338
Fibonacci,Iterative,,49040000,10053792
Fibonacci,Iterative,,47454000,10263246
Fibonacci,Iterative,,50823000,10472700
Fibonacci,Iterative,,50484000,10682154
Fibonacci,Iterative,,49703000,10891608
Fibonacci,Iterative,,52361000,11101062
Fibonacci,Iterative,,54400000,11310516
Fibonacci,Iterative,,52225000,11519970
Fibonacci,Iterative,,53356000,11729424
Fibonacci,Iterative,,60309000,11938878
Fibonacci,Iterative,,57057000,12148332
Fibonacci,Iterative,,57279000,12357786
Fibonacci,Iterative,,58295000,12567240
Fibonacci,Iterative,,58897000,12776694
Fibonacci,Iterative,,59319000,12986148
Fibonacci,Iterative,,60526000,13195602
Fibonacci,Iterative,,61972000,13405056
Fibonacci,Iterative,,63944000,13614510
Fibonacci,Iterative,,70640000,13823964
Fibonacci,Iterative,,68548000,14033418
Fibonacci,Iterative,,66929000,14242872
Fibonacci,Iterative,,66643000,14452326
Fibonacci,Iterative,,70034000,14661780
Fibonacci,Iterative,,68525000,14871234
Fibonacci,Iterative,,69591000,15080688
Fibonacci,Iterative,,71544000,15290142
Fibonacci,Iterative,,72586000,15499596
Fibonacci,Iterative,,71582000,15709050
Fibonacci,Iterative,,74696000,15918504
Fibonacci,Iterative,,75331000,16127958
Fibonacci,Iterative,,75553000,16337412
Fibonacci,Iterative,,76436000,16546866
Fibonacci,Iterative,,87243000,16756320
Fibonacci,Iterative,,80738000,16965774
Fibonacci,Iterative,,79838000,17175228
Fibonacci,Iterative,,80746000,17384682
Fibonacci,Iterative,,81994000,17594136
Fibonacci,Iterative,,83289000,17803590
Fibonacci,Iterative,,84138000,18013044
Fibonacci,Iterative,,91807000,18222498
Fibonacci,Iterative,,84584000,18431952
Fibonacci,Iterative,,85760000,18641406
Fibonacci,Iterative,,87469000,18850860
Fibonacci,Iterative,,89370000,19060314
Fibonacci,Iterative,,96233000,19269768
Fibonacci,Iterative,,94821000,19479222
Fibonacci,Iterative,,98666000,19688676
Fibonacci,Iterative,,95124000,19898130
Fibonacci,Iterative,,92061000,20107584
Fibonacci,Iterative,,93890000,20317038
Fibonacci,Iterative,,96042000,20526492
Fibonacci,Iterative,,96633000,20735946
Fibonacci,Iterative,,94869000,20945400
