group,function,value,sample_time_nanos,iteration_count
Fibonacci2,Iterative,21,1119000,190695
Fibonacci2,Iterative,21,1874000,381390
Fibonacci2,Iterative,21,2919000,572085
Fibonacci2,Iterative,21,4173000,762780
Fibonacci2,Iterative,21,4799000,953475
Fibonacci2,Iterative,21,5894000,1144170
Fibonacci2,Iterative,21,6944000,1334865
Fibonacci2,Iterative,21,7846000,1525560
Fibonacci2,Iterative,21,8519000,1716255
Fibonacci2,Iterative,21,9606000,1906950
Fibonacci2,Iterative,21,10843000,2097645
Fibonacci2,Iterative,21,11325000,2288340
Fibonacci2,Iterative,21,12936000,2479035
Fibonacci2,Iterative,21,13535000,2669730
Fibonacci2,Iterative,21,14388000,2860425
Fibonacci2,Iterative,21,15331000,3051120
Fibonacci2,Iterative,21,16066000,3241815
Fibonacci2,Iterative,21,17011000,3432510
Fibonacci2,Iterative,21,18354000,3623205
Fibonacci2,Iterative,21,19302000,3813900
Fibonacci2,Iterative,21,20117000,4004595
Fibonacci2,Iterative,21,21040000,4195290
Fibonacci2,Iterative,21,22117000,4385985
Fibonacci2,Iterative,21,23321000,4576680
Fibonacci2,Iterative,21,23471000,4767375
Fibonacci2,Iterative,21,26713000,4958070
Fibonacci2,Iterative,21,26548000,5148765
Fibonacci2,Iterative,21,27755000,5339460
Fibonacci2,Iterative,21,29985000,5530155
Fibonacci2,Iterative,21,29471000,5720850
Fibonacci2,Iterative,21,30248000,5911545
Fibonacci2,Iterative,21,30141000,6102240
Fibonacci2,Iterative,21,31757000,6292935
Fibonacci2,Iterative,21,33262000,6483630
Fibonacci2,Iterative,21,40260000,6674325
Fibonacci2,Iterative,21,35631000,6865020
Fibonacci2,Iterative,21,35490000,7055715
Fibonacci2,Iterative,21,37892000,7246410
Fibonacci2,Iterative,21,37583000,7437105
Fibonacci2,Iterative,21,39502000,7627800
Fibonacci2,Iterative,21,39762000,7818495
Fibonacci2,Iterative,21,39714000,8009190
Fibonacci2,Iterative,21,42862000,8199885
Fibonacci2,Iterative,21,43596000,8390580
Fibonacci2,Iterative,21,44104000,8581275
Fibonacci2,Iterative,21,44656000,8771970
Fibonacci2,Iterative,21,46213000,8962665
Fibonacci2,Iterative,21,46729000,9153360
Fibonacci2,Iterative,21,48263000,9344055
Fibonacci2,Iterative,21,56277000,9534750
Fibonacci2,Iterative,21,50566000,9725445
Fibonacci2,Iterative,21,52883000,9916140
Fibonacci2,Iterative,21,60071000,10106835
Fibonacci2,Iterative,21,52939000,10297530
Fibonacci2,Iterative,21,53094000,10488225
Fibonacci2,Iterative,21,55640000,10678920
Fibonacci2,Iterative,21,59387000,10869615
Fibonacci2,Iterative,21,55319000,11060310
Fibonacci2,Iterative,21,58941000,11251005
Fibonacci2,Iterative,21,59767000,11441700
Fibonacci2,Iterative,21,58409000,11632395
Fibonacci2,Iterative,21,61107000,11823090
Fibonacci2,Iterative,21,65693000,12013785
Fibonacci2,Iterative,21,61985000,12204480
Fibonacci2,Iterative,21,62882000,12395175
Fibonacci2,Iterative,21,62904000,12585870
Fibonacci2,Iterative,21,64141000,12776565
Fibonacci2,Iterative,21,65588000,12967260
Fibonacci2,Iterative,21,68292000,13157955
Fibonacci2,Iterative,21,67554000,13348650
Fibonacci2,Iterative,21,93788000,13539345
Fibonacci2,Iterative,21,75554000,13730040
Fibonacci2,Iterative,21,69606000,13920735
Fibonacci2,Iterative,21,71374000,14111430
Fibonacci2,Iterative,21,74600000,14302125
Fibonacci2,Iterative,21,72845000,14492820
Fibonacci2,Iterative,21,75053000,14683515
Fibonacci2,Iterative,21,75966000,14874210
Fibonacci2,Iterative,21,76851000,15064905
Fibonacci2,Iterative,21,77793000,15255600
Fibonacci2,Iterative,21,77913000,15446295
Fibonacci2,Iterative,21,80271000,15636990
Fibonacci2,Iterative,21,83609000,15827685
Fibonacci2,Iterative,21,80645000,16018380
Fibonacci2,Iterative,21,87953000,16209075
Fibonacci2,Iterative,21,83362000,16399770
Fibonacci2,Iterative,21,85058000,16590465
Fibonacci2,Iterative,21,85587000,16781160
Fibonacci2,Iterative,21,87348000,16971855
Fibonacci2,Iterative,21,87211000,17162550
Fibonacci2,Iterative,21,87387000,17353245
Fibonacci2,Iterative,21,89301000,17543940
Fibonacci2,Iterative,21,89970000,17734635
Fibonacci2,Iterative,21,92585000,17925330
Fibonacci2,Iterative,21,92048000,18116025
Fibonacci2,Iterative,21,95721000,18306720
Fibonacci2,Iterative,21,94016000,18497415
Fibonacci2,Iterative,21,95183000,18688110
Fibonacci2,Iterative,21,96695000,18878805
Fibonacci2,Iterative,21,97384000,19069500
