group,function,value,sample_time_nanos,iteration_count
Fibonacci2,Recursive,21,1075000,32
Fibonacci2,Recursive,21,2092000,64
Fibonacci2,Recursive,21,2937000,96
Fibonacci2,Recursive,21,3937000,128
Fibonacci2,Recursive,21,4952000,160
Fibonacci2,Recursive,21,5989000,192
Fibonacci2,Recursive,21,6926000,224
Fibonacci2,Recursive,21,7942000,256
Fibonacci2,Recursive,21,8983000,288
Fibonacci2,Recursive,21,9755000,320
Fibonacci2,Recursive,21,10753000,352
Fibonacci2,Recursive,21,11799000,384
Fibonacci2,Recursive,21,13117000,416
Fibonacci2,Recursive,21,16448000,448
Fibonacci2,Recursive,21,16364000,480
Fibonacci2,Recursive,21,15817000,512
Fibonacci2,Recursive,21,17180000,544
Fibonacci2,Recursive,21,17882000,576
Fibonacci2,Recursive,21,18624000,608
Fibonacci2,Recursive,21,20185000,640
Fibonacci2,Recursive,21,21367000,672
Fibonacci2,Recursive,21,22793000,704
Fibonacci2,Recursive,21,23246000,736
Fibonacci2,Recursive,21,24230000,768
Fibonacci2,Recursive,21,24627000,800
Fibonacci2,Recursive,21,25282000,832
Fibonacci2,Recursive,21,26487000,864
Fibonacci2,Recursive,21,27824000,896
Fibonacci2,Recursive,21,42683000,928
Fibonacci2,Recursive,21,47815000,960
Fibonacci2,Recursive,21,37814000,992
Fibonacci2,Recursive,21,31921000,1024
Fibonacci2,Recursive,21,33115000,1056
Fibonacci2,Recursive,21,34625000,1088
Fibonacci2,Recursive,21,34517000,1120
Fibonacci2,Recursive,21,35318000,1152
Fibonacci2,Recursive,21,36559000,1184
Fibonacci2,Recursive,21,36715000,1216
Fibonacci2,Recursive,21,37996000,1248
Fibonacci2,Recursive,21,38945000,1280
Fibonacci2,Recursive,21,41231000,1312
Fibonacci2,Recursive,21,41283000,1344
Fibonacci2,Recursive,21,42723000,1376
Fibonacci2,Recursive,21,43121000,1408
Fibonacci2,Recursive,21,44239000,1440
Fibonacci2,Recursive,21,47479000,1472
Fibonacci2,Recursive,21,46656000,1504
Fibonacci2,Recursive,21,47161000,1536
Fibonacci2,Recursive,21,50672000,1568
Fibonacci2,Recursive,21,50286000,1600
Fibonacci2,Recursive,21,50901000,1632
Fibonacci2,Recursive,21,51620000,1664
Fibonacci2,Recursive,21,52566000,1696
Fibonacci2,Recursive,21,57475000,1728
Fibonacci2,Recursive,21,55025000,1760
Fibonacci2,Recursive,21,55232000,1792
Fibonacci2,Recursive,21,55667000,1824
Fibonacci2,Recursive,21,57007000,1856
Fibonacci2,Recursive,21,58414000,1888
Fibonacci2,Recursive,21,58679000,1920
Fibonacci2,Recursive,21,60632000,1952
Fibonacci2,Recursive,21,61105000,1984
Fibonacci2,Recursive,21,62552000,2016
Fibonacci2,Recursive,21,69170000,2048
Fibonacci2,Recursive,21,64482000,2080
Fibonacci2,Recursive,21,65553000,2112
Fibonacci2,Recursive,21,67106000,2144
Fibonacci2,Recursive,21,67238000,2176
Fibonacci2,Recursive,21,68880000,2208
Fibonacci2,Recursive,21,101076000,2240
Fibonacci2,Recursive,21,71144000,2272
Fibonacci2,Recursive,21,73274000,2304
Fibonacci2,Recursive,21,72046000,2336
Fibonacci2,Recursive,21,73076000,2368
Fibonacci2,Recursive,21,75352000,2400
Fibonacci2,Recursive,21,76079000,2432
Fibonacci2,Recursive,21,76232000,2464
Fibonacci2,Recursive,21,79205000,2496
Fibonacci2,Recursive,21,78208000,2528
Fibonacci2,Recursive,21,80412000,2560
Fibonacci2,Recursive,21,80335000,2592
Fibonacci2,Recursive,21,81590000,2624
Fibonacci2,Recursive,21,83238000,2656
Fibonacci2,Recursive,21,83941000,2688
Fibonacci2,Recursive,21,84246000,2720
Fibonacci2,Recursive,21,84984000,2752
Fibonacci2,Recursive,21,86480000,2784
Fibonacci2,Recursive,21,87827000,2816
Fibonacci2,Recursive,21,87432000,2848
Fibonacci2,Recursive,21,92365000,2880
Fibonacci2,Recursive,21,90317000,2912
Fibonacci2,Recursive,21,91822000,2944
Fibonacci2,Recursive,21,92474000,2976
Fibonacci2,Recursive,21,92970000,3008
Fibonacci2,Recursive,21,95665000,3040
Fibonacci2,Recursive,21,94136000,3072
Fibonacci2,Recursive,21,95592000,3104
Fibonacci2,Recursive,21,95926000,3136
Fibonacci2,Recursive,21,98319000,3168
Fibonacci2,Recursive,21,101068000,3200
